,movie_name,movie_tag,movie_country,movie_length,movie_release,movie_rate,movie_summary,movie_director,movie_actor,movie_rank,movie_firtweek_ticket,movie_all_ticket
599,加拿大狙击手,剧情-战争,加拿大 ,82,,Unknown,A sniper returns home from Afghanistan to his small Northern town. Confronted with the mundane reality of everyday life he longs for the release provided by shooting. Slowly his need for regimented military discipline takes over leading to violent confrontation.,Michel Kandinsky,弗朗索瓦·阿诺德-索菲·德马雷-Roch Castonguay-罗泰尔·布鲁特,Unknown,Unknown,Unknown
600,拯救嫌疑人,悬疑-犯罪-剧情,中国大陆 ,119,2023-11-01,90,“谁动我女儿，我要谁命”愤怒母亲绝望反击！ 独居女大学生被刺27刀惨死，嫌疑人一审被判死刑！受害者母亲林淑娥（惠英红 饰）本以为正义已到，但从无败诉的女律师陈智琪（张小斐 饰）坚持为奸杀犯做无罪辩护，让受害者母亲陷入绝望。陈智琪为奸杀犯辩护的背后也有隐秘苦衷——一通神秘电话威胁她在五天之内为嫌疑人做无罪辨护，否则就杀死她女儿！陈智琪无助绝望之下联手警察金志雄(李鸿其 饰)展开调查，随着调查的展开，陷入绝境的两个母亲形成对峙，更大的阴谋开始展现，复仇与反杀似乎成了唯一的选择……,张末,张小斐-李鸿其-惠英红-王子异,Unknown,17882,56954
601,航海王：红发歌姬,动画,日本 ,115,2022-12-01,90,令全世界为之疯狂的歌姬·乌塔，她的身世成谜，歌声却被誉为“来自别的次元”。而这次，她将举办演唱会并第一次露出庐山真面目。为了欣赏她的歌声，路飞率领的草帽一伙，以及世界各地的歌迷都汇聚在会场之中。全世界备受瞩目的歌声即将在此回荡。而故事就在乌塔是“杰克斯的女儿”这一令人震惊的发现中拉开帷幕！,谷口悟朗,田中真弓-中井和哉-冈村明美-山口胜平,Unknown,7488,18548
602,熊出没之夺宝熊兵,动画-喜剧-冒险,中国大陆 ,95,2014-01-17,91,一场漆黑雨夜的意外事故，一段笑料十足的误打误撞，将两个外表相似却内容各异的箱子调换。光头强始料未及：自己的“宝贝箱”已经变成了藏有“神秘宝贝”的箱子，更出他意料：“神秘宝贝”正将他和老对手熊大、熊二一步步推进一个巨大秘密当中…… 啼笑皆非间，光头强、熊大、熊二的生活发生了天翻地覆的变化，许多新面孔纷纷出现，森林的平静就此被彻底打破——出于对“神秘宝贝”的渴望，各方奋力追逐、极尽所能，然而，“神秘宝贝”究竟是什么？“宝贝”的背后又隐藏着多少故事？面临前所未见的种种状况，光头强、熊大、熊二是继续对抗？还是携手同行？在这一次的“夺宝”旅程中，他们能否以“熊兵”之势，力挽狂澜？,丁亮,张伟-谭笑-熊二,Unknown,10151,24785
603,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
604,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
605,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
606,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
607,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
608,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
609,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
610,没有哪个夏天像今年一样,短片-纪录片,中国大陆 ,33,2020-01-09,Unknown,重庆男孩为我们展现了闻名的重庆夜景，也放出了自己戴着头盔在风中骑着车的画面......每个夏天都一样的美好，但，没有哪个夏天像今年一样。,王源,Unknown,Unknown,Unknown,Unknown
611,梅艳芳,剧情-传记-音乐,中国香港 ,137,2021-11-12,92,梅艳芳年仅4岁半便和姐姐梅爱芳一起登台卖唱，养家糊口。19岁参加华星唱片举办的第一届新秀歌唱大赛，获得冠军，从此同舞台结下不解之缘，凭借敬业的精神和过人的才华，慢慢成长为一代巨星，获封“百变天后”。2003年，一首《 夕阳之歌》和一件定制的婚纱，她选择把自己嫁给了舞台。风华绝代尤可见，世间再无梅艳芳 。,梁乐民,王丹妮-刘俊谦-廖子妤-古天乐,Unknown,3939,11353
612,新蝙蝠侠,剧情-动作-悬疑-犯罪,美国 ,176,2022-03-18,80,布鲁斯·韦恩化身蝙蝠侠于哥谭市行侠仗义两年后，罪犯皆闻风丧胆，他也因此深入接触到哥谭市的阴暗面。他潜行于哥谭市腐败的政要名流关系网中，身边仅有几个值得信赖的盟友——管家阿尔弗雷德·潘尼沃斯与詹姆斯·戈登警长。这位独行的“义警侠探”在哥谭市民心中已成为“复仇”二字最当仁不让的代名词。,马特·里夫斯,罗伯特·帕丁森-佐伊·克罗维兹-保罗·达诺-杰弗里·怀特,Unknown,7467,16328
613,捉妖记2,喜剧-奇幻,中国大陆 ,110,2018-02-16,82,与胡巴分别后，天荫 （ 井柏然 饰）带着小岚 （ 白百何 饰）踏上寻父之路，在义薄云天的天师堂堂主云大哥 （ 杨祐宁 饰）的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷 （ 梁朝伟 饰）和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动 。,许诚毅,梁朝伟-白百何-井柏然-李宇春,Unknown,120447,223723
614,加勒比海盗5：死无对证,喜剧-动作-奇幻,美国 ,129,2017-05-26,89,杰克船长 （ 约翰尼·德普 饰）发现令人闻风丧胆的萨拉查船长 （ 哈维尔·巴登 饰）竟率领着一众夺命亡灵水手逃出了百慕大三角区。他们扬言要杀尽世上所有的海盗，头号目标就是杰克船长。要想改写命运，杰克船长唯一的希望就是找到传说中海神波塞冬的三叉戟，拥有它就能拥有统治整个海洋的力量。为了寻获这件神器，杰克船长被迫和聪明美丽的天文学家卡琳娜·史密斯 （ 卡雅·斯考达里奥 饰）以及固执的年轻皇家海军亨 利（ 布兰顿·思怀兹 饰）联手出击。航行着他那破破烂烂的“黑珍珠”号，杰克船长不但决心要改变自己的厄运，同时也力求能从史上最狠毒可怕的敌人那里捡回一条命 。,乔阿吉姆·罗恩尼,约翰尼·德普-哈维尔·巴登-布兰顿·思怀兹,Unknown,46887,118007
615,异形：契约,恐怖-科幻,美国 ,116,2017-06-16,69,《异形：契约》的时间线设定在《普罗米修斯》故事结束的10年之后。载有移民的飞船“契约号”航行遇到变故降落在一个遥远星球上。并找到了“普罗米修斯”号的幸存者生化人大卫，同时等待他们的还有可怕的异形怪物。这个看似天堂的星球实际上是一个万劫不复的地狱 。,雷德利·斯科特,迈克尔·法斯宾德-凯瑟琳·沃特森-比利·克鲁德普-卡门·艾乔戈,Unknown,19952,31117
616,花千骨,奇幻-爱情,中国大陆 ,97,2024-01-20,Unknown,上古时期，妖神之战虽已过千年，但世间的恶念贪欲仍不断滋生，不仅引致禁锢妖神之力的神器封印逐渐松动，各方势力更为此蠢蠢欲动。 为阻止妖神再度现世，仙界之首、长留掌门白子画邀众仙派联手，对抗七杀叛变，并召回神器再度封印。但此期间，一个叫“花千骨”的凡人女子竟意外闯入仙界。 自幼，花千骨便身陷“天煞孤星”之宿命，受尽人世偏见之苦，为改变命运，她一心拜白子画为师。重重考验之下，花千骨不仅成为白子画的座下弟子，两人更因朝夕相对，互生情愫，不料却被卷入一个巨大的阴谋之中...,张超理,陈都灵-李程彬-茅子俊-赖美云,Unknown,435,656
617,我本是高山,剧情,中国大陆 ,131,2023-11-24,Unknown,根据张桂梅真实事迹改编，海清领衔演绎现实催泪佳作！这是一个坚毅的女人和一群刚刚毕业还很稚嫩的老师，带着一百多个女孩成功逆天改命的故事，是关于爱、青春、热血和命运……,郑大圣,海清-陈永胜-柴烨,Unknown,3822,10022
618,大城市的爱情法,剧情-喜剧-爱情,韩国 ,118,2024-10-02,Unknown,电影改编自朴相映作家的同名小说，该小说入围布克奖、都柏林文学奖。该剧讲述有着自由灵魂不看眼色的在熙（金高银饰）和很懂得隐藏天生秘密的兴秀（卢尚贤饰）一起生活后展开的发生的故事，描绘了同性恋的年轻男作家横冲直撞地学习生活和爱情的过程。,李彦禧,金高银-卢尚贤-Hwi Jung,Unknown,Unknown,Unknown
619,钢铁侠,动作-科幻-惊悚-冒险,美国 ,126,2008-04-30,84,托尼·史塔克 （ 小罗伯特·唐尼 饰）出生在纽约一个富豪家庭，从小衣来伸手饭来张口的他，并未像所有的纨绔子弟那般只知道享乐胡闹。天生聪慧的史塔克却是个出奇的天才，17岁毕业于麻省理工大学电力工程系，并以傲人的成绩成功找到了自己的社会定位——其家族企业史塔克军火公司的新老板。父母的不幸去世反而更激发了托尼事业的前进动力。21岁时便开始掌控数百亿财产的他，逐渐确立了史塔克公司作为美军第一军火供应商的雄厚地位。不过托尼傲慢自大的性格以及为达到目的不择手段的做法常常为自己找来很多麻烦。还好，他身边还有一个精明能干、性感迷人的女助手维吉尼亚·波茨 （ 格温妮斯·帕特洛 饰）时刻给自己无微不至的关怀和帮助。但不久后的一次绑架事件彻底改变了托尼·史塔克的一生。当托尼带领一班手下和军方观察员在荒无人烟的地方测试自己最新研制的成果时，不料遭遇恐怖分子的袭击。最终，混乱中被炮弹碎片击中心脏的托尼醒后发现胸口多了个奇怪的装置，正是这个仪器维系着自己的生命。原来是同为人质的英森博士用一块汽车电磁铁吸住了他体内的弹片，保住了托尼·史塔克的性命，当然，救活他的恐怖分子要求托尼·史塔克为他们制造出威力更加巨大的武器。好汉不吃眼前亏，聪明的史塔克更不会坐以待毙。于是，他在英森帮助下利用恐怖分子为其提供的粗糙设备和原材料，在暗无天日的地下基地里为自己造出了钢铁盔甲，在与恐怖分子的火拼当中，英森博士为史塔克争取时间逃跑不幸身亡，但却使逃脱的托尼改变了自己的以制造军火拯救世界的想法。于是，他改进了钢铁盔甲，制造了另一块聚变能源，成为真正的钢铁侠。俄巴迪亚·斯坦 （ 杰夫·布里奇斯 饰）这个觊觎史塔克的富豪生活已久的坏家伙按捺不住，在史塔克军火公司里大兴波澜，与恐怖分子头目秘密交易。从其手中获得史塔克逃出恐怖分子基地时所损坏的盔甲残骸并在一班科学家的帮助下，夺取了托尼的聚变能源将钢铁盔甲改进用在了自己身上。至此故事中的头号坏蛋终于有了为所欲为的理由和底气。托尼只能靠着旧的电磁石心脏同斯坦战斗。最后波茨启动了电弧的所有能源，将斯坦打败。在第二天的新闻发布会上，托尼宣布，I am Iron Man. （我是钢铁侠） 。,乔恩·费儒,小罗伯特·唐尼-泰伦斯·霍华德-格温妮斯·帕特洛-杰夫·布里吉斯,Unknown,暂无,9200
620,名侦探柯南特典：新一与小兰·麻将牌与七夕的回忆,动画,日本 ,21,2009-04-18,72,毛利小五郎和牌友连续12小时痛打麻将车轮战，精神恍惚之下误将沾着葡萄皮的白板当作一饼导致咋和，结果从此痛恨一饼。小五郎的愚蠢举动令柯南、元太、步美等人乐不可支，阿笠博士还专门讲解了麻将牌的由来与念法。此后无论小兰和柯南怎样劝阻，小五郎都一意孤行，执意将一饼打出去。适值此时，七夕将近，牌馆也立起了竹子短签。这个习俗勾起了小兰小学时候的一段回忆，当年小兰在短签上写下“希望妈妈回家”的愿望，结果受到同学大介的欺负与嘲笑。七夕当天，妈妈果然回家，而次日大介也跑来向小兰道歉。原来这一切都是新一这个小绅士暗中努力的结果……,高山南,,Unknown,Unknown,Unknown
621,剧场版魔法少女小圆 新篇 叛逆的故事,动画,日本 ,116,2013-10-26,87,宁静祥和的见泷原市，全靠魔法少女鹿目圆（悠木碧 配音）、美树沙耶香（喜多村英梨 配音）、巴麻美（水桥香织 配音）以及佐仓杏子（野中蓝 配音）守护，一次次击败了人类灵魂深处产生的“梦魇”，全力包围着她们最为珍惜的城市、家人和朋友。这一天，美丽女孩晓美焰（斋藤千和 配音）作为转校生来到小圆的班级，小圆她们意外发现，晓美竟然也是魔法少女中的一员。在此之后，五位魔法少女同心携手，解决了梦魇接二连三带来的危机。她们的友情笃深，相处分外融洽，但是晓美却对周遭无时不在的违和感隐隐感到不安。某天，她要求杏子和她去风见野一探究竟，然而两人大费周章，竟然怎么也无法走出见泷原。 晓美终于意识到，她和朋友们似乎被某人封在了魔女的结界中。无休止的轮回以及爱欲滋生的幻象，让少女们陷入无休止的混乱深渊……,宫本幸裕,悠木碧-斋藤千和-喜多村英梨,Unknown,Unknown,Unknown
622,生死搏斗,动作-悬疑-剧情,中国大陆 ,92,2024-11-30,Unknown,本片以小人物大情怀的手法，还原了川西北高原真实的生态环境现状，讲述了石渠县真达乡护林队的一位护林员巡山时遭遇盗猎者的袭击，在多次负伤的情况下，凭借当兵时练就的本领及顽强的毅力，摆脱追杀的惊险离奇、跌宕起伏、扣人心弦的故事。 同时也带出了县、州、省乃至全国“野生动物保护”战线上的一个模范集体，并巧妙地回避了观众反感的空洞与说教，将这个发生在深山里的故事，做成了经得起推敲与检验，集剧情、动作、悬疑为一体的讴歌时代与英模精神的主旋律题材故事片。,多吉彭措,更登彭措-曲木古火·秋风-卓杰泽仁-文月朋,Unknown,1,5
623,邓紫棋：XXX.Live巡演,纪录片-音乐,中国香港 ,117,2013中国香港上映,Unknown,暂无剧情简介,张丹,邓紫棋,Unknown,Unknown,Unknown
624,变形金刚5：最后的骑士,动作-冒险-科幻,美国 ,150,2017-06-23,75,擎天柱离开地球去寻找他的创造者，群龙无首，混沌当道，越来越多的汽车人和霸天虎来到地球，地球陷入毁灭危机，同时变形金刚在地球上被列为非法的存在，世界上成立了一种新的准军事部队。前海豹突击队成员 威廉·伦诺克斯 （ 乔什·杜哈明饰）成为了政府军组建的TRF中的一员，负责绞杀地球上的汽车人——不论好坏。发明家凯德·伊格尔 （ 马克·沃尔伯格 饰）帮助汽车人，他在一个垃圾场看管着一群幸存的汽车人。与此同时，擎天柱回到自己的母星赛博坦，发现曾经的家园已经面目全非，创造擎天柱的女神 昆塔莎 （ 嘉玛·陈 饰）指示他，只有将地球的力量吸入赛博坦，母星赛博坦才有可能存活。受到黑化的擎天柱回到地球，誓死与地球为敌，要毁灭地球。拯救世界的责任落在了由凯德为首的非同寻常的队伍身上，大黄蜂、英国爵士 （ 安东尼·霍普金斯 饰）、牛津大学教授 （ 劳拉·哈德克 饰），一场史诗浩劫彻底将地球变成了战场 。,迈克尔·贝,马克·沃尔伯格-桑地亚哥·卡布瑞拉-伊莎贝拉·莫塞德-斯坦利·图齐,Unknown,87180,155126
625,名侦探柯南：通向天国的倒计时,动作-悬疑-惊悚-犯罪,日本 ,99,2001-04-21,88,柯南一行人在露营的回家途中顺道参观一座位于西多摩市境内即将在近期完成的全日本最高双塔摩天大楼。而这摩天大楼的拥有者同时也邀请了小五郎与小兰前来参加开幕典礼，因而与柯南一行人偶然巧遇。一行人在秘书的带领之下参观了这座两栋几乎一模一样的最尖端高科技双塔摩天大楼。但是，此时在这摩天大楼里却出现了多位与此建筑物有着不同关系的人士，不久之后第一个杀人事件发生了。而且，令人不敢相信的是 黑衣组织的成员竟然同时也在大楼附近出现，这让人不免联想到灰原哀自从那些日子以来，在深夜里究竟是在跟谁联络。 而柯南的真正身份会被组织发现吗，且 灰原哀真正的身份又是？不管 目暮警官等人如何的劝说，双塔摩天大楼的开幕典礼仍按照预定进行。为了查出这场发生在总楼层高300公尺的高科技摩天大楼的杀人事件真相，柯南将与其宿敌，也就是当初逼迫工藤新一喝下毒药使他身体缩小的凶手——黑衣组织，展开一场史上最恐怖的攻防战。,儿玉兼嗣,高山南-山口胜平-山崎和佳奈-岩居由希子,Unknown,Unknown,Unknown
626,罗小黑战记2,动作-动画-奇幻,Unknown,Unknown,,Unknown,小黑跟师父无限在村里过着安宁日子，他也渐渐适应了人类世界的生活。两年后，妖灵会馆突然被袭击，无限和小黑接到任务前往会馆。小黑能否经受住这突如其来的考验？面对意想不到的敌人，小黑又会做出怎样的选择……,MTJJ木头,王宥霁,Unknown,Unknown,Unknown
627,你是我的英雄,剧情,中国大陆 ,119,2024-05-20,Unknown,本片聚焦于一群山地救援志愿者们，他们是来自社会各行各业中最平凡的人，却用一场场急迫的救援，传承着中华民族关于爱与奉献、团结与互助的文化基因，传颂着全国数以万计的志愿者们助人为乐、无私奉献的崇高精神。,范元,陈永胜-林博洋-邵兵-丁柳元,35,577,1151
628,奇异博士2：疯狂多元宇宙,动作-科幻-恐怖-奇幻,美国 ,126,2022-05-06,66,充满无限未知的疯狂多元宇宙即将展开，一切皆有可能。,斯科特·德瑞克森,本尼迪克特·康伯巴奇-伊丽莎白·奥尔森-切瓦特·埃加福特,Unknown,Unknown,Unknown
629,天空之城,动画-冒险-家庭-奇幻,日本 ,125,2023-06-01,94,漆黑的夜空中，一艘海盗船骤然对商船发动了袭击，海盗们的目标不是掠夺财物，而是寻找一名叫希达 （ 横泽启子 配音）的少女。此时，希达正被军方软禁，在混乱中她击昏了在请求援兵的穆斯卡 （ 寺田农 配音），并取回了自己被夺去的项链。这时海盗攻了进来，希达在逃跑中不小心从商船坠落下来，就在下坠时，希达项链上的宝石放出耀眼的光芒，神秘的力量使希达缓缓的漂向地面。在矿场上一个叫帕祖 （ 田中真弓 配音）的少年接下希达，并将希达带回家中。希达在帕祖的房中发现了一张天空之城的照片，帕祖告诉她那是他父亲拍到的天空之城拉普达的照片，但没有人相信，他立志要找到拉普达证明给人看。很快，海盗们又发现了希达，帕祖和希达搭上一辆矿车逃走，海盗们紧追不舍，路上碰到了军方的装甲列车，装甲列车开火将海盗打的落荒而逃，却同时将桥击碎，帕祖和希达从桥上坠下，半空中希达的宝石又发挥了神秘的力量，保护他们安全落入矿井中。在废旧的矿洞中他们碰到了汤姆爷爷，汤姆爷爷认出希达所带的宝石是飞行石，只有天空之城中拉普达人才能做的出来，而希达此时也说出了自己的另一个名字：罗希达·多耶鲁·乌鲁·拉普达。帕祖和希达离开了矿洞，但很快就被军队所围捕，两人被押到一座要塞中。在那里，穆斯卡带希达去看一个机器人的残骸，要希达说出找到拉普达的咒语。希达以释放帕祖为交换条件，并骗帕祖以不需要他的帮助，让他快走。帕祖伤心的回到家却被海盗妈妈 （ 初井言荣 配音）和她的儿子们抓到，经过交谈，海盗们和帕祖达成了共识，他们驾上飞行器去要塞营救希达。要塞中，希达想起小时候婆婆教的一条咒语，低吟后，飞行石发出耀眼的光芒，在地窖中的机器人苏醒了，开始对要塞进攻。穆斯卡调动炮塔攻击机器人，机器人被击中，希达的飞行石失落，危机时刻机器人帮助希达逃生，巨型战舰将机器人彻底摧毁，穆斯卡得到飞行石，知道了拉普达的位置。帕祖和希达决定和海盗们一起去寻找拉普达，在和海盗们的相处中，他们感觉海盗们没有想象中那么坏。晚上，帕祖和希达驾驶滑翔机在高空监视敌情，突然前面出现了巨型龙卷风，飞艇和滑翔机被卷入其中，帕祖在狂暴的龙卷风中仿佛看见了父亲在指引他前进，终于他们冲入风暴中心到了天空之城——拉普达。天空之城显的安静祥和，但空无一人。一个机器人引领帕祖和希达二人来到天空之城的上端，那里草木繁盛，生机盎然。帕祖和希达在那里发现了一棵大树，这棵大树支撑着整个天空之城，大树前有一座墓碑。军队在拉普达中掠夺财宝，而穆斯卡则利用飞行石找到拉普达的秘密入口。帕祖设法救出被捕的海盗们，而希达却被穆斯卡抓走。穆斯卡带着希达到了拉普达的中枢，并发现飞行石的结晶，此时穆斯卡告诉希达他也有一个秘密的名字叫：罗穆斯卡·保罗·乌鲁·拉普达。他和希达都是拉普达的同族，只是到地面时分成了两族。得意的穆斯卡向军队展示了拉普达的巨大威力，并指挥机器人击落了巨型战舰。希达趁穆斯卡不备抢下飞行石逃走。帕祖费尽力气进入拉普达的中枢，终于见到了希达。为了阻止穆斯卡的野心，希达和帕祖手握着手说出了毁灭的咒语，拉普达从下部开始了崩溃。在拉普达下部崩溃后，上部在大树的包裹下缓缓上升。帕祖和希达被树根保护，他们驾驶滑翔机离开了拉普达。在和海盗们道别后，帕祖去实现他的诺言，和希达一起回她的家乡生活，他们驾驶着滑翔机消失在云中。天空之城——拉普达继续漂浮在空中 。,宫崎骏,田中真弓-横泽启子-初井言荣-寺田农,Unknown,7580,13562
630,建国大业,剧情-历史,"中国大陆,中国香港 ",135,2009-09-16,Unknown,1945年8月抗战胜利，中共毛泽东主席(唐国强饰)应国民党蒋介石(张国立饰)之邀毅然飞赴重庆，与国民党蒋介石举行和平谈判。毛主席在重庆与民盟主席张澜等民主党派领导人密切协商配合，共同努力推动谈判进程，使国共双方终于签订了以避免内战、在政治协商的基础上组建多党派联合政府为主要内容《双十协定》。但是，国民党蒋介石无法放弃一党专制的独裁迷思，一方面发动了对共产党的内战，一方面炮制召开首届国民大会的独角戏，并对民主党派大肆迫害镇压，实际撕毁了《双十协定》。中国共产党制定了针锋相对、以革命战争反对反革命战争的方针，开始坚决的武装反击。众多民主党派领导人纷纷采取了与中共站在一起的立场，坚决反对和抵制蒋介石独裁行径，以实际行动与国民党决裂了。在反对国民党独裁统治的共同斗争中，身处延安、西柏坡战争前线的毛泽东、周恩来(刘劲饰) ，与身在蒋管区和香港等地的宋庆龄(许晴饰)、张澜(王冰饰)、李济深(金鑫饰)等著名民主党派领袖虽然分隔远方，但心气相通，肝胆相照。他们在为人民解放战争的不断胜利而共同欢欣鼓舞的同时，也开始为如何建立一个民主的新中国而未雨绸缪思考谋划。1948年5月，中国共产党发表《五一宣言》，发出了打倒国民党反动派、迅速召开新的政治协商会议，成立民主联合政府的号召。这个号召得到各民主党派的热烈响应。此后，在战场上共产党领导的人民解放战争节节胜利的同时，一个反对国民党统治的民主统一战线也不断发展壮大，大批民主人士在共产党的诚恳邀请和精心安排下，历经艰险，从蒋管区，从香港、从国外纷纷奔赴解放区。1949年9月21日，群英荟萃的中国人民政治协商会议第一届全体会议在北京隆重召开。九天之后，中华人民共和国于1949年10月1日成立 。,韩三平,唐国强-张国立-许晴,Unknown,暂无,42018
631,伞少女,动画-奇幻,中国大陆 ,95,2024-07-06,88,超人气漫画作家原创IP改编动画！绝美“物拟人”古风宇宙，深具“中国文化”底蕴的奇幻故事，一展东方美学的极致浪漫！ 前朝公主镜折将自己心爱的青罗伞送至念物阁珍藏，临行前她希望青罗伞可以陪伴着前朝将军的黑玉剑。青罗伞的物灵青黛为实现主人的愿望，在念物阁寻找到黑玉剑的物灵忘归。而忘归却一心想为前主人报仇，找到机会逃出了念物阁。为了阻止忘归再次在人间挑起战争，青黛与天才工匠少年墨阳一起踏上了寻找忘归的路。一路上惊险重重，在一人一物灵的通力合作下，最终他们成功让忘归放弃仇恨，并且阻止了念物阁一场前所未有的危机。然而，他们也付出了巨大的代价……,沈杰,聂曦映-谷江山-刘校妤-沈念如,Unknown,1161,1911
632,神偷奶爸,喜剧-动画-冒险,"美国,法国 ",95,2010-06-27,89,超级坏蛋格鲁（史蒂夫·卡瑞尔 Steve Carell 配音）在听说埃及金字塔被盗的新闻后不满市面上新贼辈出，决定在纳法利欧博士（拉塞尔·布兰德 Russell Brand 配音）的帮助下建造火箭升空盗取月亮。在向坏蛋银行贷款的过程中，格鲁盗取的收缩射线枪被新贼维克托（杰森·席格尔 Jason Segel 配音）抢走。为了夺回收缩射线枪，格鲁决定领养三位孤儿——玛戈（米兰达·卡斯格拉夫 Miranda Cosgrove 配音）、伊迪丝（达娜·盖伊 Dana Gaier 配音）和阿格蕾丝（埃尔希·费舍 Elsie Fisher 配音），利用她们进入维克托的城堡兜售饼干的机会实施偷盗，计划成功后再偷偷处理掉三个小孩。然而在平凡的日常相处中，格鲁却发现自己越来越离不开这三个小鬼，但这样的感情用事却将严重影响周密的盗月计划……,克里斯·雷纳德,史蒂夫·卡瑞尔-杰森·席格尔-拉塞尔·布兰德,Unknown,Unknown,Unknown
633,不日成婚,喜剧-爱情,中国香港 ,94,2021-04-01,68,阿佳 (陈家乐 饰)与可怡（卫诗雅 饰）在一个婚礼上相识，两人一拍即合，相爱五年，终于迎来最大的感情危机－“结婚”！女方视结婚为爱的证明；男方视结婚为爱的坟墓，二人在这议题上互有攻守，展开了一场男女之间深层次的角力！ 可怡的闺蜜Jenny (谈善言 饰)与Jessica (杨偲泳 饰) 出谋献策，教她奇招务求怀孕上身！一旦怀孕，婚事不就势在必行？！阿佳眼见可怡对自己展开“逼婚计划”，惟有在兄弟灰熊（朱栢康 饰）与阿健(岑珈其 饰) 的帮忙下积极迎战，誓要坚守不婚底线！ 女方计谋被连番识破，Jessica只好掏出杀着－春药！得知消息的灰熊冒着生命危险通风报信，阿佳虽已有所防范，但还是百密一疏，中了可怡的圈套，渡过了极爽快的“无套一夜”！事后阿佳提心吊胆，最反对结婚的浪子阿健立即提出“事后大行动”— 务求在黄金三十六小时内，将事后避孕丸偷偷让可怡服下...,陈茂贤,陈家乐-卫诗雅-朱栢康-谈善言,Unknown,Unknown,Unknown
634,布莱泽奥特曼电影版：大怪兽首都激战,动作-科幻,日本 ,76,2024-02-23,71,某个工业地带陆陆续续出现怪兽？！弦人队长率领SKaRD进行迎击，打倒了接二连三的怪兽。SKaRD认为此事与该地带在进行怪兽残骸处理和研究的先进化学企业「尼克罗玛斯公司」有某种关系，SKaRD便急行前往该公司的最高运营者、同时也是世界屈指可数的化学研究者的马布塞博士那里进行调查。 　　尼克罗玛斯公司的研究所正在开发能够实现与生命根源相关的长生不老物质「达姆特辛」，据说即将完成。在这样的情况下，突然出现了自称「宇宙霸者」的神秘宇宙人「达姆诺星人」！并且，从被破坏的容器中泄露出来的达姆特辛物质吞噬了研究所的怪兽样本，诞生了可怕的巨大怪兽——妖骸魔兽贡吉尔冈。现在，以日本的首都为舞台，布莱泽奥特曼以及SKaRD与大怪兽壮烈的大碰撞帷幕即将拉开！,田口清隆,蕨野友也-捣宫姫奈-梶原飒-伊藤祐辉,Unknown,Unknown,Unknown
635,名侦探柯南 灰原哀物语～黑铁的神秘列车～,剧情-动画-悬疑,日本 ,90,2023-01-06,67,讲述吃了自己开发的毒药，婴儿化的灰原哀与组织的关系，以及被该组织杀害的妹妹阿基米的记忆。这一次豪华列车上将发生什么样的谋杀事件？,山本泰一郎,高山南-林原惠美-绪方贤一-堀之纪,Unknown,Unknown,Unknown
636,街一边水一边,剧情,中国大陆 ,125,2025-01-01,Unknown,故事讲述了江南老街一家百年老店的两代女店主，在不同时代背景下命运、生活和情感的遭遇，展现了中国女性的坚忍、善良，对传统的坚守和传承，与现实抗争的勇气和倔强。,刘丰鸣,史可-李墨之-徐凯鑫-曾庆生,Unknown,1,2
637,误杀瞒天记2,剧情-悬疑-惊悚-犯罪,印度 ,140,2022-11-18,78,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,阿比谢克·帕塔克,阿贾耶·德乌干-塔布-阿克夏耶·坎纳-施芮娅·萨兰,Unknown,Unknown,Unknown
638,驯龙高手3,动画-动作-冒险,美国 ,104,2019-03-01,90,统领伯克岛的酋长小嗝嗝，与阿丝翠德共同打造了一个奇妙而热闹的飞龙乌托邦。一只雌性光煞飞龙的意外出现，加上一个前所未有的威胁的到来，令小嗝嗝和没牙仔不得不离开自己的家园，前往他们本以为只存在于神话之中的隐秘之境。在发现自己真正的命运之后，飞龙与骑士将携手殊死奋战，保护他们所珍爱的一切 。,迪恩·德布洛斯,杰伊·巴鲁切尔-刘昊然-亚美莉卡·费雷拉-凯特·布兰切特,Unknown,21923,36796
